id,name,gender,age,traits,status,interest
822,Linda Taylor,male,23,"independent, optimistic, analytical, fun-loving",doctor," romantic movies,  sci-fi movies"
823,Michael Jones,female,70,"adventurous, empathetic",nurse," classic movies,  action movies"
824,David Miller,male,38,"introspective, compassionate, adventurous, meticulous",doctor," comedy movies,  action movies,  documentaries,  romantic movies,  sci-fi movies"
825,Jane Martinez,female,40,"practical, fun-loving, outgoing",musician," sci-fi movies,  action movies,  comedy movies"
826,James Garcia,male,65,"energetic, practical, meticulous, fun-loving",lawyer," documentaries,  comedy movies"
827,Robert Taylor,female,45,analytical,farmer," comedy movies,  romantic movies"
828,Robert Taylor,male,68,practical,engineer, family-friendly movies
829,Michael Jones,female,61,"introspective, creative, patient, empathetic",designer," classic movies,  sci-fi movies,  romantic movies,  comedy movies,  family-friendly movies"
830,James Miller,male,33,"outgoing, meticulous, fun-loving, ambitious, patient",doctor," family-friendly movies,  thriller movies,  romantic movies,  classic movies"
831,Sarah Taylor,female,65,ambitious,engineer," classic movies,  family-friendly movies,  sci-fi movies"
832,Robert Smith,male,69,"energetic, caring, practical, compassionate, patient",doctor," sci-fi movies,  documentaries"
833,John Garcia,female,42,"meticulous, optimistic",student," sci-fi movies,  romantic movies"
834,Michael Garcia,male,53,"ambitious, empathetic, analytical, compassionate, adventurous",artist," romantic movies,  thriller movies,  sci-fi movies,  documentaries,  family-friendly movies"
835,Jane Jones,female,62,outgoing,photographer," family-friendly movies,  action movies,  classic movies,  thriller movies,  comedy movies"
836,James Miller,male,60,"analytical, ambitious",musician," thriller movies,  classic movies"
837,Mary Smith,female,55,"patient, compassionate, independent, empathetic",doctor," thriller movies,  sci-fi movies,  documentaries,  comedy movies"
838,James Williams,male,35,"meticulous, compassionate, caring",musician," sci-fi movies,  family-friendly movies"
839,James Martinez,female,34,ambitious,student," comedy movies,  action movies,  sci-fi movies"
840,Emily Smith,male,47,"creative, practical",farmer," documentaries,  comedy movies,  romantic movies,  action movies,  sci-fi movies"
841,David Williams,female,67,independent,designer," sci-fi movies,  documentaries,  comedy movies"
842,John Davis,male,50,"empathetic, analytical",teacher," family-friendly movies,  thriller movies,  action movies,  romantic movies,  documentaries"
843,James Miller,female,34,"practical, optimistic, creative",nurse," thriller movies,  romantic movies,  family-friendly movies,  comedy movies,  documentaries"
844,John Martinez,male,23,"creative, ambitious",photographer," comedy movies,  classic movies,  sci-fi movies"
845,John Jones,female,34,adventurous,designer," classic movies,  romantic movies,  family-friendly movies"
846,Robert Jones,male,61,fun-loving,artist, documentaries
847,James Davis,female,25,"outgoing, introspective, creative, independent, ambitious",teacher, family-friendly movies
848,Mary Miller,male,32,"creative, patient, empathetic",lawyer," action movies,  family-friendly movies,  classic movies"
849,Sarah Garcia,female,26,fun-loving,student," classic movies,  documentaries,  sci-fi movies,  action movies,  thriller movies"
850,James Johnson,male,56,"creative, ambitious, caring, practical",doctor," comedy movies,  sci-fi movies,  documentaries"
851,Sarah Davis,female,32,"fun-loving, creative, patient, adventurous, introspective",scientist," comedy movies,  thriller movies,  action movies"
852,David Johnson,male,29,"introspective, practical, meticulous",artist," documentaries,  comedy movies"
853,Mary Williams,female,61,energetic,artist," family-friendly movies,  thriller movies,  romantic movies,  action movies"
854,Emily Davis,male,49,"empathetic, caring, creative, analytical, meticulous",artist," thriller movies,  documentaries"
855,Mary Brown,female,29,"fun-loving, practical, patient",designer, action movies
856,Emily Jones,male,68,"analytical, ambitious",nurse, documentaries
857,Mary Taylor,female,46,"ambitious, analytical",scientist," action movies,  romantic movies,  comedy movies"
858,James Brown,male,44,"independent, introspective, ambitious",writer," thriller movies,  classic movies,  sci-fi movies,  romantic movies,  documentaries"
859,Sarah Williams,female,33,"optimistic, adventurous, analytical, energetic",nurse," sci-fi movies,  classic movies,  documentaries,  comedy movies,  romantic movies"
860,Linda Williams,male,51,"independent, outgoing, optimistic",musician," action movies,  documentaries,  comedy movies,  sci-fi movies,  romantic movies"
861,Mary Jones,female,46,"patient, analytical",retired, classic movies
862,John Jones,male,23,"compassionate, introspective, ambitious, adventurous",writer," classic movies,  comedy movies"
863,James Williams,female,26,"adventurous, introspective, creative, independent, outgoing",engineer," action movies,  thriller movies,  sci-fi movies"
864,John Davis,male,41,caring,artist, comedy movies
865,John Martinez,female,40,analytical,musician," classic movies,  family-friendly movies,  thriller movies,  romantic movies,  documentaries"
866,Sarah Jones,male,26,"caring, energetic, fun-loving, outgoing, ambitious",engineer," sci-fi movies,  thriller movies,  action movies,  family-friendly movies,  classic movies"
867,David Johnson,female,60,"meticulous, empathetic, practical, analytical, independent",actor," thriller movies,  action movies,  documentaries"
868,Sarah Jones,male,45,"fun-loving, practical, compassionate, meticulous",farmer," family-friendly movies,  classic movies,  documentaries,  thriller movies"
869,James Johnson,female,47,"independent, analytical",actor," comedy movies,  thriller movies"
870,Robert Davis,male,42,"empathetic, independent, energetic",scientist, comedy movies
871,Emily Jones,female,32,compassionate,photographer," romantic movies,  classic movies,  documentaries"
872,Emily Martinez,male,49,"compassionate, practical, empathetic, independent, fun-loving",engineer," sci-fi movies,  romantic movies,  comedy movies,  action movies,  documentaries"
873,James Davis,female,64,"ambitious, caring",musician," classic movies,  thriller movies"
874,Emily Brown,male,48,compassionate,lawyer," sci-fi movies,  thriller movies,  classic movies,  romantic movies,  family-friendly movies"
875,Emily Smith,female,27,"introspective, adventurous, independent, optimistic",artist," family-friendly movies,  sci-fi movies,  thriller movies"
876,David Williams,male,59,"introspective, outgoing, creative",actor," sci-fi movies,  romantic movies,  comedy movies,  family-friendly movies"
877,Linda Garcia,female,41,"caring, analytical, optimistic",engineer," family-friendly movies,  thriller movies,  comedy movies"
878,John Martinez,male,52,"practical, introspective, analytical, patient",photographer," sci-fi movies,  action movies,  romantic movies,  comedy movies,  thriller movies"
879,James Williams,female,23,"analytical, creative, caring, patient",teacher," romantic movies,  sci-fi movies,  comedy movies,  classic movies"
880,James Miller,male,64,"ambitious, meticulous",engineer," sci-fi movies,  family-friendly movies"
881,Jane Miller,female,40,compassionate,photographer, classic movies
882,Sarah Davis,male,26,"compassionate, introspective",artist," comedy movies,  documentaries,  action movies,  romantic movies"
883,Emily Brown,female,58,energetic,entrepreneur," sci-fi movies,  comedy movies,  documentaries,  classic movies"
884,James Garcia,male,57,"outgoing, optimistic, independent, adventurous",lawyer," romantic movies,  comedy movies"
885,Jane Johnson,female,46,"practical, ambitious, introspective",photographer, documentaries
886,Mary Martinez,male,37,"caring, fun-loving, optimistic",engineer," comedy movies,  action movies,  classic movies,  thriller movies"
887,Jane Taylor,female,49,"fun-loving, independent, ambitious",scientist," action movies,  sci-fi movies"
888,Robert Smith,male,62,creative,engineer, action movies
889,John Smith,female,44,"outgoing, energetic, practical, creative, empathetic",engineer, family-friendly movies
890,Sarah Garcia,male,23,"ambitious, creative, fun-loving",doctor," comedy movies,  thriller movies,  documentaries,  action movies"
891,Emily Miller,female,29,fun-loving,engineer," documentaries,  action movies"
892,John Jones,male,27,analytical,entrepreneur, family-friendly movies
893,James Martinez,female,49,"optimistic, compassionate",doctor," classic movies,  action movies,  sci-fi movies"
894,James Smith,male,69,"meticulous, independent, patient",writer," thriller movies,  action movies,  classic movies,  documentaries,  comedy movies"
895,Robert Johnson,female,21,"analytical, independent, optimistic, empathetic, patient",lawyer," classic movies,  action movies,  family-friendly movies,  comedy movies,  romantic movies"
896,Michael Smith,male,45,"empathetic, patient",entrepreneur," thriller movies,  romantic movies,  sci-fi movies,  documentaries"
897,James Brown,female,42,"analytical, fun-loving, practical, adventurous",actor," documentaries,  thriller movies,  romantic movies,  family-friendly movies,  action movies"
898,David Johnson,male,41,"outgoing, patient, compassionate",farmer," family-friendly movies,  sci-fi movies,  documentaries,  action movies"
899,James Brown,female,57,"independent, meticulous, adventurous",nurse," documentaries,  thriller movies,  classic movies,  romantic movies,  sci-fi movies"
900,John Davis,male,20,"fun-loving, compassionate, adventurous",artist, romantic movies
901,Emily Smith,female,37,"optimistic, outgoing, meticulous",photographer," family-friendly movies,  documentaries,  thriller movies,  comedy movies"
902,Mary Davis,male,54,caring,musician," thriller movies,  comedy movies,  family-friendly movies,  romantic movies"
903,David Garcia,female,34,"ambitious, meticulous, independent",teacher," comedy movies,  documentaries,  sci-fi movies,  classic movies,  family-friendly movies"
904,Emily Davis,male,40,"analytical, empathetic, energetic",nurse," sci-fi movies,  comedy movies,  family-friendly movies,  romantic movies,  thriller movies"
905,James Jones,female,41,"compassionate, fun-loving, independent, energetic",photographer," sci-fi movies,  classic movies,  action movies"
906,Michael Johnson,male,57,"adventurous, analytical, patient, ambitious",teacher," documentaries,  action movies,  classic movies,  family-friendly movies,  romantic movies"
907,Emily Miller,female,29,empathetic,entrepreneur," comedy movies,  action movies,  documentaries,  thriller movies"
908,Jane Smith,male,42,"caring, independent, patient, meticulous, practical",engineer," comedy movies,  sci-fi movies,  thriller movies,  action movies,  classic movies"
909,John Johnson,female,62,"meticulous, creative, analytical, fun-loving",artist, comedy movies
910,Linda Brown,male,61,"compassionate, fun-loving, practical, outgoing, meticulous",engineer," thriller movies,  romantic movies,  comedy movies"
911,Emily Smith,female,51,"patient, empathetic",actor," sci-fi movies,  documentaries,  action movies"
912,Michael Martinez,male,64,"introspective, creative, ambitious, practical",musician," documentaries,  action movies"
913,David Taylor,female,56,"fun-loving, independent, compassionate, empathetic",engineer," family-friendly movies,  action movies"
914,Michael Garcia,male,51,"patient, ambitious",artist," sci-fi movies,  comedy movies"
915,Emily Taylor,female,29,"introspective, empathetic, fun-loving, independent",entrepreneur," family-friendly movies,  comedy movies"
916,Mary Johnson,male,40,"ambitious, analytical",photographer," classic movies,  documentaries,  thriller movies,  comedy movies"
917,Robert Davis,female,34,adventurous,designer, sci-fi movies
918,Jane Taylor,male,26,"creative, outgoing, caring, optimistic",scientist," romantic movies,  family-friendly movies"
919,James Jones,female,32,"optimistic, creative, practical",doctor," thriller movies,  action movies"
920,David Davis,male,62,introspective,teacher, documentaries
921,James Jones,female,65,"optimistic, compassionate",musician," romantic movies,  family-friendly movies,  thriller movies,  sci-fi movies"
922,Linda Brown,male,46,outgoing,retired," comedy movies,  sci-fi movies,  action movies,  classic movies,  family-friendly movies"
923,Michael Martinez,female,61,"adventurous, meticulous",photographer," action movies,  romantic movies,  thriller movies"
924,Michael Davis,male,61,practical,nurse," action movies,  documentaries,  family-friendly movies,  classic movies"
925,Linda Garcia,female,23,"introspective, adventurous, optimistic",photographer," family-friendly movies,  sci-fi movies,  romantic movies"
926,Robert Smith,male,62,"creative, ambitious",engineer," documentaries,  comedy movies"
927,Emily Brown,female,65,"independent, energetic",scientist," documentaries,  family-friendly movies,  comedy movies,  sci-fi movies"
928,Jane Williams,male,33,"energetic, outgoing",teacher," thriller movies,  action movies,  documentaries,  family-friendly movies,  sci-fi movies"
929,David Smith,female,55,patient,writer," comedy movies,  sci-fi movies,  thriller movies"
930,David Miller,male,69,"energetic, outgoing, introspective, empathetic",musician," classic movies,  family-friendly movies"
931,Michael Williams,female,53,"energetic, outgoing, ambitious, optimistic",entrepreneur," documentaries,  classic movies,  family-friendly movies,  sci-fi movies,  romantic movies"
932,Jane Davis,male,68,"energetic, compassionate",musician," family-friendly movies,  romantic movies,  classic movies,  thriller movies,  sci-fi movies"
933,Michael Miller,female,51,"compassionate, ambitious, energetic, empathetic",student, action movies
934,Linda Davis,male,37,"creative, practical, outgoing, compassionate",farmer," documentaries,  sci-fi movies"
935,Emily Johnson,female,59,"outgoing, independent, meticulous",artist," sci-fi movies,  action movies"
936,Emily Miller,male,66,adventurous,retired," thriller movies,  documentaries,  sci-fi movies,  classic movies,  action movies"
937,John Jones,female,45,"energetic, fun-loving, independent, outgoing, empathetic",doctor," sci-fi movies,  romantic movies,  family-friendly movies,  documentaries,  classic movies"
938,Jane Williams,male,58,"meticulous, compassionate, patient, outgoing",actor," family-friendly movies,  action movies,  classic movies"
939,John Johnson,female,30,"energetic, caring, analytical, practical",writer, family-friendly movies
940,Sarah Jones,male,29,adventurous,actor, romantic movies
941,Mary Martinez,female,56,"compassionate, creative",photographer," romantic movies,  family-friendly movies"
942,Jane Davis,male,58,compassionate,lawyer," romantic movies,  thriller movies,  documentaries,  action movies"
943,Jane Davis,female,28,creative,artist, romantic movies
944,Robert Taylor,male,34,"meticulous, introspective, ambitious",designer," family-friendly movies,  action movies"
945,Emily Martinez,female,58,"introspective, caring, independent, patient, creative",scientist," romantic movies,  classic movies,  sci-fi movies,  action movies,  thriller movies"
946,Mary Williams,male,32,meticulous,entrepreneur," action movies,  sci-fi movies,  documentaries,  comedy movies"
947,Linda Garcia,female,70,"energetic, analytical",entrepreneur," comedy movies,  romantic movies"
948,John Taylor,male,55,"practical, energetic",writer," classic movies,  sci-fi movies,  documentaries"
949,Linda Taylor,female,45,caring,writer, sci-fi movies
950,Linda Garcia,male,40,"empathetic, ambitious, creative, meticulous",musician," classic movies,  documentaries,  action movies,  family-friendly movies,  thriller movies"
951,David Williams,female,62,empathetic,lawyer," documentaries,  romantic movies"
952,John Garcia,male,47,"adventurous, independent, empathetic",entrepreneur," sci-fi movies,  action movies,  romantic movies,  family-friendly movies"
953,Linda Johnson,female,63,"energetic, adventurous, creative",musician," romantic movies,  action movies,  family-friendly movies,  sci-fi movies,  classic movies"
954,Sarah Garcia,male,51,"patient, energetic",artist, family-friendly movies
955,Robert Martinez,female,70,"introspective, energetic, caring, creative",writer," documentaries,  action movies"
956,David Davis,male,60,"creative, introspective",student," family-friendly movies,  comedy movies,  thriller movies,  sci-fi movies,  romantic movies"
957,Michael Davis,female,52,"energetic, ambitious, independent, creative",entrepreneur, thriller movies
958,Michael Williams,male,52,"empathetic, patient, independent",writer," romantic movies,  documentaries,  classic movies,  sci-fi movies"
959,David Johnson,female,29,"empathetic, adventurous, caring",student," family-friendly movies,  classic movies,  action movies,  comedy movies,  documentaries"
960,Emily Smith,male,20,"patient, ambitious, empathetic",student," family-friendly movies,  comedy movies,  romantic movies,  documentaries,  thriller movies"
961,Michael Davis,female,42,"patient, meticulous",teacher," thriller movies,  comedy movies,  sci-fi movies"
962,Sarah Brown,male,34,"meticulous, introspective",lawyer," comedy movies,  action movies,  thriller movies,  sci-fi movies,  documentaries"
963,Robert Martinez,female,63,compassionate,nurse," sci-fi movies,  classic movies"
964,Mary Smith,male,52,practical,actor," comedy movies,  romantic movies,  family-friendly movies,  action movies,  thriller movies"
965,Jane Williams,female,21,"patient, compassionate, independent",artist," family-friendly movies,  romantic movies,  classic movies"
966,James Johnson,male,58,empathetic,retired, romantic movies
967,Jane Garcia,female,56,meticulous,student," comedy movies,  romantic movies,  thriller movies,  action movies,  sci-fi movies"
968,John Davis,male,30,"creative, fun-loving, adventurous",entrepreneur," action movies,  documentaries"
969,Linda Garcia,female,45,"practical, optimistic",student," classic movies,  action movies,  comedy movies,  romantic movies"
970,Emily Davis,male,56,"adventurous, compassionate, patient, caring, fun-loving",engineer, thriller movies
971,Robert Garcia,female,57,"outgoing, empathetic, practical",entrepreneur," sci-fi movies,  classic movies,  action movies,  family-friendly movies,  romantic movies"
972,Emily Garcia,male,38,"creative, outgoing, practical",student," documentaries,  romantic movies,  action movies,  sci-fi movies"
973,James Smith,female,23,"creative, optimistic, analytical, compassionate, practical",lawyer," family-friendly movies,  classic movies,  documentaries,  thriller movies"
974,Michael Johnson,male,23,"energetic, ambitious",musician," thriller movies,  comedy movies,  family-friendly movies"
975,James Brown,female,55,"empathetic, outgoing, energetic, ambitious",student," family-friendly movies,  comedy movies,  action movies,  documentaries"
976,Sarah Smith,male,68,"empathetic, analytical, fun-loving, caring",lawyer," romantic movies,  sci-fi movies"
977,James Miller,female,56,creative,actor," family-friendly movies,  thriller movies,  romantic movies,  classic movies"
978,David Taylor,male,34,"introspective, practical",photographer," documentaries,  classic movies,  comedy movies,  action movies"
979,John Garcia,female,41,empathetic,doctor," family-friendly movies,  action movies,  romantic movies,  sci-fi movies"
980,Mary Williams,male,23,meticulous,scientist," classic movies,  sci-fi movies"
981,Emily Brown,female,66,"optimistic, practical, adventurous, ambitious",writer, romantic movies
982,Sarah Smith,male,64,meticulous,writer," action movies,  classic movies,  thriller movies"
983,Robert Miller,female,33,"caring, analytical, creative, optimistic",writer," documentaries,  family-friendly movies,  comedy movies,  classic movies"
984,Michael Johnson,male,26,"creative, outgoing, optimistic, meticulous",actor," sci-fi movies,  romantic movies"
985,Jane Garcia,female,32,"outgoing, patient, analytical, meticulous",designer," thriller movies,  family-friendly movies,  romantic movies,  comedy movies"
986,James Johnson,male,21,"fun-loving, adventurous, analytical, creative, compassionate",doctor," family-friendly movies,  comedy movies,  thriller movies,  documentaries,  romantic movies"
987,Mary Martinez,female,20,"energetic, practical",actor," thriller movies,  action movies"
988,Sarah Miller,male,69,"analytical, optimistic, practical, independent",writer," family-friendly movies,  classic movies,  romantic movies"
989,David Brown,female,42,"optimistic, independent, practical, ambitious, patient",writer," documentaries,  action movies,  thriller movies"
990,Robert Miller,male,57,"patient, practical, fun-loving, creative, optimistic",doctor, thriller movies
991,Michael Smith,female,44,"creative, caring, independent, adventurous, meticulous",nurse," sci-fi movies,  classic movies,  thriller movies"
992,Robert Davis,male,45,outgoing,artist," action movies,  sci-fi movies,  thriller movies,  comedy movies"
993,Emily Garcia,female,56,adventurous,scientist," sci-fi movies,  action movies,  thriller movies"
994,Jane Brown,male,46,"practical, analytical, independent, compassionate",engineer," action movies,  thriller movies"
995,Emily Taylor,female,65,introspective,teacher," thriller movies,  classic movies,  action movies"
996,Linda Johnson,male,61,"outgoing, adventurous, introspective, practical, caring",musician, documentaries
997,John Smith,female,21,"introspective, optimistic, practical, creative",nurse," classic movies,  family-friendly movies,  action movies,  documentaries,  romantic movies"
998,Mary Williams,male,51,ambitious,student, thriller movies
999,Emily Martinez,female,49,ambitious,engineer," family-friendly movies,  classic movies,  romantic movies,  comedy movies,  action movies"
